"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02945V03560","ICD 10 Diagnostic Group","UNIT","VALUE"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","15","Eating disorders","Number","0"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","16","Intellectual disability","Number","100"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","17","Development disorders","Number","7"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","18","Behavioural, emotional disorders of childhood and adolescence","Number","6"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","19","Other and unspecified","Number","179"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","21","All disorders","Number","1487"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","02","Organic mental disorders","Number","118"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","04","Schizophrenia, schizotypal and delusional disorders","Number","351"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","06","Depressive disorders","Number","298"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","07","Mania","Number","127"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","08","Neuroses","Number","60"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","10","Personality and behavioural disorders","Number","53"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","11","Alcoholic disorders","Number","33"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","13","Other drug disorders","Number","13"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","15","Eating disorders","Number","20"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","16","Intellectual disability","Number","54"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","17","Development disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","18","Behavioural, emotional disorders of childhood and adolescence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","19","Other and unspecified","Number","192"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","2","Female","21","All disorders","Number","1325"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","02","Organic mental disorders","Number","257"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","04","Schizophrenia, schizotypal and delusional disorders","Number","751"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","06","Depressive disorders","Number","397"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","07","Mania","Number","199"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","08","Neuroses","Number","85"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","10","Personality and behavioural disorders","Number","68"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","11","Alcoholic disorders","Number","72"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","13","Other drug disorders","Number","27"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","15","Eating disorders","Number","19"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","16","Intellectual disability","Number","161"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","17","Development disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","18","Behavioural, emotional disorders of childhood and adolescence","Number","0"
